filename,world_name,character_name,character2_name,character_texture,character2_texture,character_pos,character2_pos
0000000.png,Desert,Crow,Fox,Red,Blue,,
0000001.png,Desert,Crow,Fox,Red,Green,,
0000002.png,Desert,Crow,Fox,Red,Yellow,,
0000003.png,Desert,Crow,Fox,Red,Brown,,
0000004.png,Desert,Crow,Fox,Red,Purple,,
0000005.png,Desert,Crow,Fox,Red,Cyan,,
0000006.png,Desert,Crow,Fox,Red,Gray,,
0000007.png,Desert,Crow,Fox,Blue,Red,,
0000008.png,Desert,Crow,Fox,Blue,Green,,
0000009.png,Desert,Crow,Fox,Blue,Yellow,,
0000010.png,Desert,Crow,Fox,Blue,Brown,,
0000011.png,Desert,Crow,Fox,Blue,Purple,,
0000012.png,Desert,Crow,Fox,Blue,Cyan,,
0000013.png,Desert,Crow,Fox,Blue,Gray,,
0000014.png,Desert,Crow,Fox,Green,Red,,
0000015.png,Desert,Crow,Fox,Green,Blue,,
0000016.png,Desert,Crow,Fox,Green,Yellow,,
0000017.png,Desert,Crow,Fox,Green,Brown,,
0000018.png,Desert,Crow,Fox,Green,Purple,,
0000019.png,Desert,Crow,Fox,Green,Cyan,,
0000020.png,Desert,Crow,Fox,Green,Gray,,
0000021.png,Desert,Crow,Fox,Yellow,Red,,
0000022.png,Desert,Crow,Fox,Yellow,Blue,,
0000023.png,Desert,Crow,Fox,Yellow,Green,,
0000024.png,Desert,Crow,Fox,Yellow,Brown,,
0000025.png,Desert,Crow,Fox,Yellow,Purple,,
0000026.png,Desert,Crow,Fox,Yellow,Cyan,,
0000027.png,Desert,Crow,Fox,Yellow,Gray,,
0000028.png,Desert,Crow,Fox,Brown,Red,,
0000029.png,Desert,Crow,Fox,Brown,Blue,,
0000030.png,Desert,Crow,Fox,Brown,Green,,
0000031.png,Desert,Crow,Fox,Brown,Yellow,,
0000032.png,Desert,Crow,Fox,Brown,Purple,,
0000033.png,Desert,Crow,Fox,Brown,Cyan,,
0000034.png,Desert,Crow,Fox,Brown,Gray,,
0000035.png,Desert,Crow,Fox,Purple,Red,,
0000036.png,Desert,Crow,Fox,Purple,Blue,,
0000037.png,Desert,Crow,Fox,Purple,Green,,
0000038.png,Desert,Crow,Fox,Purple,Yellow,,
0000039.png,Desert,Crow,Fox,Purple,Brown,,
0000040.png,Desert,Crow,Fox,Purple,Cyan,,
0000041.png,Desert,Crow,Fox,Purple,Gray,,
0000042.png,Desert,Crow,Fox,Cyan,Red,,
0000043.png,Desert,Crow,Fox,Cyan,Blue,,
0000044.png,Desert,Crow,Fox,Cyan,Green,,
0000045.png,Desert,Crow,Fox,Cyan,Yellow,,
0000046.png,Desert,Crow,Fox,Cyan,Brown,,
0000047.png,Desert,Crow,Fox,Cyan,Purple,,
0000048.png,Desert,Crow,Fox,Cyan,Gray,,
0000049.png,Desert,Crow,Fox,Gray,Red,,
0000050.png,Desert,Crow,Fox,Gray,Blue,,
0000051.png,Desert,Crow,Fox,Gray,Green,,
0000052.png,Desert,Crow,Fox,Gray,Yellow,,
0000053.png,Desert,Crow,Fox,Gray,Brown,,
0000054.png,Desert,Crow,Fox,Gray,Purple,,
0000055.png,Desert,Crow,Fox,Gray,Cyan,,
0000056.png,Desert,Crow,DeerStag,Red,Blue,,
0000057.png,Desert,Crow,DeerStag,Red,Green,,
0000058.png,Desert,Crow,DeerStag,Red,Yellow,,
0000059.png,Desert,Crow,DeerStag,Red,Brown,,
0000060.png,Desert,Crow,DeerStag,Red,Purple,,
0000061.png,Desert,Crow,DeerStag,Red,Cyan,,
0000062.png,Desert,Crow,DeerStag,Red,Gray,,
0000063.png,Desert,Crow,DeerStag,Blue,Red,,
0000064.png,Desert,Crow,DeerStag,Blue,Green,,
0000065.png,Desert,Crow,DeerStag,Blue,Yellow,,
0000066.png,Desert,Crow,DeerStag,Blue,Brown,,
0000067.png,Desert,Crow,DeerStag,Blue,Purple,,
0000068.png,Desert,Crow,DeerStag,Blue,Cyan,,
0000069.png,Desert,Crow,DeerStag,Blue,Gray,,
0000070.png,Desert,Crow,DeerStag,Green,Red,,
0000071.png,Desert,Crow,DeerStag,Green,Blue,,
0000072.png,Desert,Crow,DeerStag,Green,Yellow,,
0000073.png,Desert,Crow,DeerStag,Green,Brown,,
0000074.png,Desert,Crow,DeerStag,Green,Purple,,
0000075.png,Desert,Crow,DeerStag,Green,Cyan,,
0000076.png,Desert,Crow,DeerStag,Green,Gray,,
0000077.png,Desert,Crow,DeerStag,Yellow,Red,,
0000078.png,Desert,Crow,DeerStag,Yellow,Blue,,
0000079.png,Desert,Crow,DeerStag,Yellow,Green,,
0000080.png,Desert,Crow,DeerStag,Yellow,Brown,,
0000081.png,Desert,Crow,DeerStag,Yellow,Purple,,
0000082.png,Desert,Crow,DeerStag,Yellow,Cyan,,
0000083.png,Desert,Crow,DeerStag,Yellow,Gray,,
0000084.png,Desert,Crow,DeerStag,Brown,Red,,
0000085.png,Desert,Crow,DeerStag,Brown,Blue,,
0000086.png,Desert,Crow,DeerStag,Brown,Green,,
0000087.png,Desert,Crow,DeerStag,Brown,Yellow,,
0000088.png,Desert,Crow,DeerStag,Brown,Purple,,
0000089.png,Desert,Crow,DeerStag,Brown,Cyan,,
0000090.png,Desert,Crow,DeerStag,Brown,Gray,,
0000091.png,Desert,Crow,DeerStag,Purple,Red,,
0000092.png,Desert,Crow,DeerStag,Purple,Blue,,
0000093.png,Desert,Crow,DeerStag,Purple,Green,,
0000094.png,Desert,Crow,DeerStag,Purple,Yellow,,
0000095.png,Desert,Crow,DeerStag,Purple,Brown,,
0000096.png,Desert,Crow,DeerStag,Purple,Cyan,,
0000097.png,Desert,Crow,DeerStag,Purple,Gray,,
0000098.png,Desert,Crow,DeerStag,Cyan,Red,,
0000099.png,Desert,Crow,DeerStag,Cyan,Blue,,
0000100.png,Desert,Crow,DeerStag,Cyan,Green,,
0000101.png,Desert,Crow,DeerStag,Cyan,Yellow,,
0000102.png,Desert,Crow,DeerStag,Cyan,Brown,,
0000103.png,Desert,Crow,DeerStag,Cyan,Purple,,
0000104.png,Desert,Crow,DeerStag,Cyan,Gray,,
0000105.png,Desert,Crow,DeerStag,Gray,Red,,
0000106.png,Desert,Crow,DeerStag,Gray,Blue,,
0000107.png,Desert,Crow,DeerStag,Gray,Green,,
0000108.png,Desert,Crow,DeerStag,Gray,Yellow,,
0000109.png,Desert,Crow,DeerStag,Gray,Brown,,
0000110.png,Desert,Crow,DeerStag,Gray,Purple,,
0000111.png,Desert,Crow,DeerStag,Gray,Cyan,,
0000112.png,Desert,Crow,DeerDoe,Red,Blue,,
0000113.png,Desert,Crow,DeerDoe,Red,Green,,
0000114.png,Desert,Crow,DeerDoe,Red,Yellow,,
0000115.png,Desert,Crow,DeerDoe,Red,Brown,,
0000116.png,Desert,Crow,DeerDoe,Red,Purple,,
0000117.png,Desert,Crow,DeerDoe,Red,Cyan,,
0000118.png,Desert,Crow,DeerDoe,Red,Gray,,
0000119.png,Desert,Crow,DeerDoe,Blue,Red,,
0000120.png,Desert,Crow,DeerDoe,Blue,Green,,
0000121.png,Desert,Crow,DeerDoe,Blue,Yellow,,
0000122.png,Desert,Crow,DeerDoe,Blue,Brown,,
0000123.png,Desert,Crow,DeerDoe,Blue,Purple,,
0000124.png,Desert,Crow,DeerDoe,Blue,Cyan,,
0000125.png,Desert,Crow,DeerDoe,Blue,Gray,,
0000126.png,Desert,Crow,DeerDoe,Green,Red,,
0000127.png,Desert,Crow,DeerDoe,Green,Blue,,
0000128.png,Desert,Crow,DeerDoe,Green,Yellow,,
0000129.png,Desert,Crow,DeerDoe,Green,Brown,,
0000130.png,Desert,Crow,DeerDoe,Green,Purple,,
0000131.png,Desert,Crow,DeerDoe,Green,Cyan,,
0000132.png,Desert,Crow,DeerDoe,Green,Gray,,
0000133.png,Desert,Crow,DeerDoe,Yellow,Red,,
0000134.png,Desert,Crow,DeerDoe,Yellow,Blue,,
0000135.png,Desert,Crow,DeerDoe,Yellow,Green,,
0000136.png,Desert,Crow,DeerDoe,Yellow,Brown,,
0000137.png,Desert,Crow,DeerDoe,Yellow,Purple,,
0000138.png,Desert,Crow,DeerDoe,Yellow,Cyan,,
0000139.png,Desert,Crow,DeerDoe,Yellow,Gray,,
0000140.png,Desert,Crow,DeerDoe,Brown,Red,,
0000141.png,Desert,Crow,DeerDoe,Brown,Blue,,
0000142.png,Desert,Crow,DeerDoe,Brown,Green,,
0000143.png,Desert,Crow,DeerDoe,Brown,Yellow,,
0000144.png,Desert,Crow,DeerDoe,Brown,Purple,,
0000145.png,Desert,Crow,DeerDoe,Brown,Cyan,,
0000146.png,Desert,Crow,DeerDoe,Brown,Gray,,
0000147.png,Desert,Crow,DeerDoe,Purple,Red,,
0000148.png,Desert,Crow,DeerDoe,Purple,Blue,,
0000149.png,Desert,Crow,DeerDoe,Purple,Green,,
0000150.png,Desert,Crow,DeerDoe,Purple,Yellow,,
0000151.png,Desert,Crow,DeerDoe,Purple,Brown,,
0000152.png,Desert,Crow,DeerDoe,Purple,Cyan,,
0000153.png,Desert,Crow,DeerDoe,Purple,Gray,,
0000154.png,Desert,Crow,DeerDoe,Cyan,Red,,
0000155.png,Desert,Crow,DeerDoe,Cyan,Blue,,
0000156.png,Desert,Crow,DeerDoe,Cyan,Green,,
0000157.png,Desert,Crow,DeerDoe,Cyan,Yellow,,
0000158.png,Desert,Crow,DeerDoe,Cyan,Brown,,
0000159.png,Desert,Crow,DeerDoe,Cyan,Purple,,
0000160.png,Desert,Crow,DeerDoe,Cyan,Gray,,
0000161.png,Desert,Crow,DeerDoe,Gray,Red,,
0000162.png,Desert,Crow,DeerDoe,Gray,Blue,,
0000163.png,Desert,Crow,DeerDoe,Gray,Green,,
0000164.png,Desert,Crow,DeerDoe,Gray,Yellow,,
0000165.png,Desert,Crow,DeerDoe,Gray,Brown,,
0000166.png,Desert,Crow,DeerDoe,Gray,Purple,,
0000167.png,Desert,Crow,DeerDoe,Gray,Cyan,,
0000168.png,Desert,Crow,Wolf,Red,Blue,,
0000169.png,Desert,Crow,Wolf,Red,Green,,
0000170.png,Desert,Crow,Wolf,Red,Yellow,,
0000171.png,Desert,Crow,Wolf,Red,Brown,,
0000172.png,Desert,Crow,Wolf,Red,Purple,,
0000173.png,Desert,Crow,Wolf,Red,Cyan,,
0000174.png,Desert,Crow,Wolf,Red,Gray,,
0000175.png,Desert,Crow,Wolf,Blue,Red,,
0000176.png,Desert,Crow,Wolf,Blue,Green,,
0000177.png,Desert,Crow,Wolf,Blue,Yellow,,
0000178.png,Desert,Crow,Wolf,Blue,Brown,,
0000179.png,Desert,Crow,Wolf,Blue,Purple,,
0000180.png,Desert,Crow,Wolf,Blue,Cyan,,
0000181.png,Desert,Crow,Wolf,Blue,Gray,,
0000182.png,Desert,Crow,Wolf,Green,Red,,
0000183.png,Desert,Crow,Wolf,Green,Blue,,
0000184.png,Desert,Crow,Wolf,Green,Yellow,,
0000185.png,Desert,Crow,Wolf,Green,Brown,,
0000186.png,Desert,Crow,Wolf,Green,Purple,,
0000187.png,Desert,Crow,Wolf,Green,Cyan,,
0000188.png,Desert,Crow,Wolf,Green,Gray,,
0000189.png,Desert,Crow,Wolf,Yellow,Red,,
